2019-03-19 15:50:07.1134||Ocelot.Host.Startup|ERROR|  sdsdsdsd |url: |action: 
2019-03-19 15:50:07.7944||Ocelot.Errors.Middleware.ExceptionHandlerMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: ocelot pipeline started |url: |action: 
2019-03-19 15:50:07.8055||Ocelot.Errors.Middleware.ExceptionHandlerMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: ocelot pipeline started |url: |action: 
2019-03-19 15:50:07.8055||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Upstream url path is /api/values |url: |action: 
2019-03-19 15:50:07.8185||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Upstream url path is /api/values |url: |action: 
2019-03-19 15:50:07.8407||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: DownstreamRouteFinderMiddleware setting pipeline errors. IDownstreamRouteFinder returned Error Code: UnableToFindDownstreamRouteError Message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. |url: |action: 
2019-03-19 15:50:07.8407||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: DownstreamRouteFinderMiddleware setting pipeline errors. IDownstreamRouteFinder returned Error Code: UnableToFindDownstreamRouteError Message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. |url: |action: 
2019-03-19 15:50:07.8407||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. |url: |action: 
2019-03-19 15:50:07.8407||Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. |url: |action: 
2019-03-19 15:50:07.8510||Ocelot.Responder.Middleware.ResponderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Error Code: UnableToFindDownstreamRouteError Message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. errors found in ResponderMiddleware. Setting error response for request path:/api/values, request method: GET |url: |action: 
2019-03-19 15:50:07.8510||Ocelot.Responder.Middleware.ResponderMiddleware|WARN|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: Error Code: UnableToFindDownstreamRouteError Message: Failed to match ReRoute configuration for upstream path: /api/values, verb: GET. errors found in ResponderMiddleware. Setting error response for request path:/api/values, request method: GET |url: |action: 
2019-03-19 15:50:07.8510||Ocelot.Errors.Middleware.ExceptionHandlerMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: ocelot pipeline finished |url: |action: 
2019-03-19 15:50:07.8510||Ocelot.Errors.Middleware.ExceptionHandlerMiddleware|DEBUG|  requestId: 0HLLC7U0PA4MB:00000001, previousRequestId: no previous request id, message: ocelot pipeline finished |url: |action: 
